"distancia_km","cota","pendiente","curvatura","elemento","tipo_elemento","curvatura_magnitud"
101.810258,943.507,0,-0.00266666664,NA,0,0.00266666664
101.842984,943.507,0,-0.00266666664,NA,0,0.00266666664
101.875711,943.507,-0.261798978,0,NA,0,0
101.885711,943.48,-0.523597956,0,NA,0,0
102.085711,942.433,-0.523596,0,NA,0,0
102.285711,941.386,-0.523592,0,NA,0,0
102.485711,940.339,-0.523596,0,NA,0,0
102.685711,939.291,-0.523593,0,NA,0,0
102.885711,938.244,-0.2618,0,NA,0,0
102.895711,938.218,0,0,NA,0,0
102.898352,938.218,0,0,NA,0,0
102.948352,938.218,0,0,NA,0,0
102.956063,938.218,0,0,NA,0,0
102.9587,938.218,0,0,NA,0,0
102.9787,938.218,0,0,NA,0,0
102.993977,938.218,0,0,NA,0,0
102.994977,938.218,0,0,NA,0,0
102.995773,938.218,0,0,NA,0,0
103.182156,938.218,0,0,"200",2,0
103.195773,938.218,0,0,NA,0,0
103.395773,938.218,0,0.00266666664,NA,0,0.00266666664
103.4285,938.218,0,0.00266666664,NA,0,0.00266666664
103.461227,938.218,0,0.00266666664,NA,0,0.00266666664
103.493953,938.218,0,0.00266666664,NA,0,0.00266666664
103.52668,938.218,0,0.00266666664,NA,0,0.00266666664
103.559406,938.218,0,0.00266666664,NA,0,0.00266666664
103.592133,938.218,0,0.00266666664,NA,0,0.00266666664
103.624859,938.218,0,0.00266666664,NA,0,0.00266666664
103.657586,938.218,0,0.00266666664,NA,0,0.00266666664
103.690313,938.218,0,0.00266666664,NA,0,0.00266666664
103.723039,938.218,0,0.00266666664,NA,0,0.00266666664
103.755766,938.218,0,0.00266666664,NA,0,0.00266666664
103.788492,938.218,0,0.00266666664,NA,0,0.00266666664
103.821219,938.218,0,0.00266666664,NA,0,0.00266666664
103.851242,938.218,0,0.00266666664,"80",4,0.00266666664
103.851266,938.218,0,0.00266666664,"75",3,0.00266666664
103.853938,938.218,0,0.00266666664,NA,0,0.00266666664
103.886664,938.218,0,0.00266666664,NA,0,0.00266666664
103.919391,938.218,0,0,NA,0,0
103.959391,938.218,0,0,NA,0,0
103.979391,938.218,0,0,NA,0,0
104.146758,938.218,0,0,"Cascajares-Hortigüela",1,0
104.229391,938.218,0,0,NA,0,0
104.236227,938.218,0,0,"Cascajares-Hortigüela",1,0
104.329391,938.218,0,0,NA,0,0
104.349391,938.218,0,0,NA,0,0
104.389391,938.218,0,0.00266666664,NA,0,0.00266666664
104.422117,938.218,0,0.00266666664,NA,0,0.00266666664
104.454844,938.218,0,0.00266666664,NA,0,0.00266666664
104.48757,938.218,0,0.00266666664,NA,0,0.00266666664
104.5203,938.218,0,0.00404028129,NA,0,0.00404028129
104.606695,938.218,0,0.00266666664,NA,0,0.00266666664
104.639422,938.218,0,0.00266666664,NA,0,0.00266666664
104.672148,938.218,0,0.00266666664,NA,0,0.00266666664
104.704875,938.218,0.261798978,0.00266666664,NA,0,0.00266666664
104.7376,938.303,0.523599,0,NA,0,0
104.9376,939.351,0.523599,0,NA,0,0
105.1376,940.398,0.523599,0,NA,0,0
105.2376,940.921,0.523597,-0.002,NA,0,0.002
105.412133,941.817,0.523596,-0.002,NA,0,0.002
105.455766,942.045,0.523599,0,NA,0,0
